source_id,sha256,pdf_page,period,metric,value,unit,source_line
T1,407d58825af18e52c99a81cf83962ec11e284d9d04126f0d73f056461493b124,6,July 2026,Kakheti non-resident hotel non-cash spending YoY,19,percent,"hotels in creased by 19% , while non -cash expenses in restaurants increased by 53 % year over year"
T1,407d58825af18e52c99a81cf83962ec11e284d9d04126f0d73f056461493b124,6,July 2026,Kakheti non-resident restaurant non-cash spending YoY,53,percent,"hotels in creased by 19% , while non -cash expenses in restaurants increased by 53 % year over year"
