source_id,sha256,pdf_page,period,metric,value,unit,source_line
P2,39581d5fb23a9fafc46af63032ea939d48578868342c8755b1495e3445c82f46,8,2020-2023,Kakheti new hotels opened,35,hotels,"Kakheti                           35                                             Ajara                       1,288"
P2,39581d5fb23a9fafc46af63032ea939d48578868342c8755b1495e3445c82f46,8,2020-2023,Kakheti new hotel rooms opened,796,rooms,Imereti                      29                                                Kakheti                 796
